Index,Plaza Name,Sate,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),Congestion_Level,lat,lon,2023,2024
1164,"Sawangi Toll
Plaza",Maharashtra,Aurangabad,"19.967322, 75.378833",19.967322,75.378833,440.0,25.19,3.818251240931653,19.967322,75.378833,29.58166504,18.24090958
1165,"Sayyad Mazra
Toll Plaza",Uttar Pradesh,"Sayed
Mazra","30.003760,77.710907",30.00376,77.710907,481.0,28.09,3.437607425232038,30.00376,77.710907,31.7816658,22.17636299
1166,,,,,,,,,,16.423222,81.6385,2.125,5.513636589
1167,Sehatganj,Madhya Pradesh,Vidisha,"23.288508,77.706068",23.288508,77.706068,433.0,24.7,3.891050583657587,23.288508,77.706068,1.075000048,1.0
1168,Sehda,Uttar Pradesh,Azamgarh,"26.1147010, 83.1344730",26.114701,83.134473,474.0,27.6,3.496503496503496,26.114701,83.134473,10.32499981,10.41545486
1169,"Seldoh
Wadgaon Bakshi",Maharashtra,Wardha,"20.839359, 78.859699",20.839359,78.859699,441.0,25.27,3.806623524933384,20.839359,78.859699,25.62833405,14.99636364
1170,"Selu Amba Toll
Plaza",Maharashtra,Beed,"18.676103,76.391998",18.676103,76.391998,556.0,33.39,2.907822041291073,18.676103,76.391998,2.520833254,1.372727275
1171,Selu Toll Plaza,Maharashtra,Kalmeshwar,"21.193194,78.896639",21.193194,78.896639,481.0,28.09,3.437607425232038,21.193194,78.896639,5.869166851,4.368181705
1172,Selwa Toll plaza,Madhya Pradesh,Seoni,"22.075667, 79.617528",22.075667,79.617528,560.0,33.67,2.884338044418806,22.075667,79.617528,1.250833273,1.138181806
1173,"SELWAKALA
TOLL PLAZA",Madhya Pradesh,SEONI,"22.055251,79.677023",22.055251,79.677023,456.0,26.33,3.658982802780827,22.055251,79.677023,1.0,1.0
1174,"Semalkhedi Fee
Plaza",Madhya Pradesh,Semalkhedi,"23.873788,76.107003",23.873788,76.107003,505.0,29.79,3.247807729782397,23.873788,76.107003,2.110833406,5.336363792
1175,Semra Toll Plaza,Uttar Pradesh,Maharajganj,"27.0665989,83.6105580",27.0665989,83.610558,432.0,24.63,3.901677721420211,27.0665989,83.610558,2.751666784,1.600000024
1176,,,,,,,,,,26.356825,82.260675,14.17166615,12.60000038
1177,SEMRI Toll Plaza,Uttar Pradesh,Jhansi,"25.636776,78.875045",25.636776,78.875045,568.0,34.24,2.837684449489217,25.636776,78.875045,5.766666412,4.856363773
1178,"Sendurwafa toll
plaza",Maharashtra,Bhandara,"21.088244,80.034186",21.088244,80.034186,454.0,26.18,3.679175864606328,21.088244,80.034186,2.50666666,2.518181801
1179,"SENGURICHI
TOLL PLAZA",Tamil Nadu,Villupuram,"11.706434,79.322335",11.706434,79.322335,479.0,27.95,3.454231433506045,11.706434,79.322335,11.63833332,8.25727272
1180,Seora Toll Plaza,Rajasthan,Bap,"27.511250, 72.279986",27.51125,72.279986,457.0,26.4,3.64963503649635,27.51125,72.279986,1.0,1.0
1181,SERGARH TOLL PLAZA,Odisha,Balasore,"21.429889,86.836645",21.429889,86.836645,584.0,35.37,2.749518834204014,21.429889,86.836645,3.336666584,2.99545455
1182,"Sevugampatti
Toll Plaza",Tamil Nadu,"Sevugampat
ti","10.193994, 77.794270",10.193994,77.79427,542.0,32.4,2.994011976047904,10.193994,77.79427,2.494999886,1.920909047
1183,Shadol/Dhuwar,Madhya Pradesh,Bhopal,"23.2816398,81.4293698",23.2816398,81.4293698,472.0,27.46,3.513703443429375,23.2816398,81.4293698,3.196666718,3.150000095
1184,"Shahabpur Toll
Plaza",Uttar Pradesh,Bahraich Rd,"26.949445,81.256453",26.949445,81.256453,412.0,23.22,4.128819157720892,26.949445,81.256453,3.839999914,5.194545269
1185,Shahapur,Karnataka,Koppal,"15.357898,76.312781",15.357898,76.312781,496.0,29.15,3.316749585406302,15.357898,76.312781,8.207500458,5.016363621
1186,"Shahjahanpur
Toll Plaza",Rajasthan,Alwar,"27.99978,76.430522",27.99978,76.430522,648.0,39.89,2.445585717779408,27.99978,76.430522,17.36750031,15.13181782
1187,"Shahpur Toll
Plaza",Bihar,Begusarai,"25.410189, 86.212352",25.410189,86.212352,447.0,25.69,3.746721618583739,25.410189,86.212352,10.73166656,10.22636414
1188,"Shahpura Toll
Plaza",Rajasthan,Jaipur,"25.59767,74.87327",25.59767,74.87327,501.0,29.51,3.277613897082924,25.59767,74.87327,1.0,1.0
1189,"Shahpura Toll
Plaza",Madhya Pradesh,Jabalpur,"23.150100,79.721200",23.1501,79.7212,448.0,25.76,3.736920777279522,23.1501,79.7212,5.221666813,3.734545469
1190,Shamirpet,Telangana,Hyderabad,"17.343361, 78.341763",17.343361,78.341763,397.0,22.16,4.317789291882556,17.343361,78.341763,6.66833353,8.513636589
1191,Shamshabad,Telangana,Hyderabad,"17.151163, 78.224438",17.151163,78.224438,402.0,22.51,4.253509145044662,17.151163,78.224438,4.164166451,2.776363611
1192,"Shantigrama
Toll Plaza",Karnataka,Hassan,"12.982709,76.228913",12.982709,76.228913,383.0,21.17,4.510599909788001,12.982709,76.228913,15.34083366,13.29363632
1193,"Shedung NH48
Toll Plaza",Maharashtra,Panvel,"18.947388,73.178849",18.947388,73.178849,433.0,24.7,3.891050583657587,18.947388,73.178849,5.882500172,8.234545708
1194,"Shedung Toll
Plaza",Maharashtra,Shedung,"18.947199,73.1786522",18.947199,73.1786522,337.0,17.92,5.285412262156448,18.947199,73.1786522,5.882500172,8.234545708
1195,"Sheetal Fee
Plaza",Rajasthan,Alwar,"27.485703, 76.844763",27.485703,76.844763,499.0,29.36,3.293807641633729,27.485703,76.844763,22.01499939,25.00818253
1196,Shekhpura Toll,Punjab,Talwandi,"29.9888,75.1378",29.9888,75.1378,358.0,19.4,4.901960784313726,29.9888,75.1378,3.285833359,3.420909166
1197,"Shelu
Bazar/Wanoza",Maharashtra,Washim,"20.391363, 77.222332",20.391363,77.222332,361.0,19.61,4.85201358563804,20.391363,77.222332,23.19249916,12.23454571
1198,"Shembal Toll
Plaza",Maharashtra,Chandrapur,"20.173582, 79.007495",20.173582,79.007495,328.0,17.28,5.470459518599562,20.173582,79.007495,13.89916706,12.35818195
1199,"Shenbagampett
ai Toll Plaza",Tamil Nadu,"Shenbagam
pettai","10.1588453,78.6509687",10.1588453,78.6509687,403.0,22.58,4.240882103477523,10.1588453,78.6509687,1.622499943,1.409090877
1200,"Shendra
MIDCÂ Toll",Maharashtra,Aurangabad,"19.906443, 75.489580",19.906443,75.48958,471.0,27.39,3.522367030644593,19.906443,75.48958,3.114166737,2.707272768
1201,"Sherewada Toll
Plaza",Karnataka,Kundagol,"15.260165,75.177026",15.260165,75.177026,482.0,28.16,3.429355281207133,15.260165,75.177026,1.306666732,1.270909071
1202,"Sherpur
Chamraha Toll",Uttar Pradesh,Ghorkhpur,"26.821964,83.293971",26.821964,83.293971,454.0,26.18,3.679175864606328,26.821964,83.293971,13.61166668,11.13909054
1203,"Sheshagirihalli
Toll Plaza",Karnataka,Ramanagar,"12.840350, 77.418460",12.84035,77.41846,591.0,35.87,2.712232167073502,12.84035,77.41846,18.65833282,17.03181839
1204,Shibpur Plaza,West Bengal,"Murshidaba
d","24.150449,88.18629",24.150449,88.18629,457.0,26.4,3.64963503649635,24.150449,88.18629,5.832499981,7.114545345
1205,"Shilphata NH48
Toll Plaza",Maharashtra,Kalyan,"19.097790,73.071728",19.09779,73.071728,307.0,15.8,5.952380952380953,19.09779,73.071728,14.71833324,16.97181892
1206,Shirpur,Maharashtra,Dhule,"21.319733,74.889272",21.319733,74.889272,401.0,22.44,4.266211604095563,21.319733,74.889272,7.55583334,8.582727432
1207,Shirur,Karnataka,Shiroor,"13.9333649,74.5965095",13.9333649,74.5965095,414.0,23.36,4.105090311986864,13.9333649,74.5965095,6.361666679,5.113636494
1208,"Shrishikalan Toll
Plaza",Uttar Pradesh,Mahoba,"25.434629,80.1279154",25.434629,80.1279154,469.0,27.24,3.541076487252125,25.434629,80.1279154,1.645833373,2.00636363
1209,Sidhpura,Rajasthan,Pratapgarh,"24.0937133,74.7523369",24.0937133,74.7523369,447.0,25.69,3.746721618583739,24.0937133,74.7523369,1.334166646,1.477272749
1210,"Sidkhedraja Toll
Plaza",Maharashtra,Buldhana,"19.970446, 76.099052",19.970446,76.099052,747.0,46.89,2.088118605136772,19.970446,76.099052,20.47249985,11.60545444
1211,Sikandra Toll,Rajasthan,Dausa,"26.978589, 76.573914",26.978589,76.573914,505.0,29.79,3.247807729782397,26.978589,76.573914,2.702500105,3.056363583
1212,"Sikandra Toll
Plaza",Rajasthan,Dausa,"26.944488,76.557567",26.944488,76.557567,362.0,19.68,4.835589941972921,26.944488,76.557567,5.29333353,4.638181686
1213,Silwani,Madhya Pradesh,Sagar,"23.309393,78.45677",23.309393,78.45677,412.0,23.22,4.128819157720892,23.309393,78.45677,2.387500048,2.092727184
1214,"Similiya Toll
Plaza",Rajasthan,Kota,"25.170089,76.130552",25.170089,76.130552,460.0,26.61,3.621876131836291,25.170089,76.130552,2.899166584,3.543636322
1215,"Singarajupally
Toll Plaza",Telangana,Suryapet,"17.589631,79.276944",17.589631,79.276944,352.0,18.98,5.005005005005005,17.589631,79.276944,2.053333282,1.361818194
1216,"Singarenipalli
Toll Plaza",Telangana,Suryapet,"17.192000, 79.871000",17.192,79.871,367.0,20.04,4.752851711026616,17.192,79.871,23.43416595,24.16272736
1217,"Singhpur Toll
Plaza",Madhya Pradesh,Rewa,"24.712917,80.585349",24.712917,80.585349,481.0,28.09,3.437607425232038,24.712917,80.585349,1.986666679,2.074545383
1218,"Sirmandi Toll
Plaza",Rajasthan,Jodhpur,"26.780375,72.821083",26.780375,72.821083,566.0,34.1,2.849002849002849,26.780375,72.821083,1.0,4.491817951
1219,"Sirohi Bahali
TOLL PLAZA",Haryana,Narnaul,"27.93268775,76.12719041",27.93268775,76.12719041,349.0,18.76,5.060728744939271,27.93268775,76.12719041,5.394999981,6.237272739
1220,Sirsod Toll Plaza,Madhya Pradesh,Shivpuri,"25.490262,77.494286",25.490262,77.494286,385.0,21.31,4.482294935006724,25.490262,77.494286,1.117499948,1.0
1221,"Sitarampura Toll
Plaza",Rajasthan,Jaipur,"26.7473,75.7686",26.7473,75.7686,654.0,40.32,2.420135527589545,26.7473,75.7686,14.40333366,17.77181816
1222,Sivaya Toll Plaza,Uttar Pradesh,Meerut,"29.095601,77.710995",29.095601,77.710995,376.0,20.67,4.614674665436087,29.095601,77.710995,12.81500053,16.16636276
1223,Sobhasar,Rajasthan,Churu,"27.785854, 74.747014",27.785854,74.747014,377.0,20.74,4.599816007359706,27.785854,74.747014,4.671666622,6.493636608
1224,Sonapetya,West Bengal,"Purba
Medinipur","22.335479,87.869477",22.335479,87.869477,585.0,35.44,2.74423710208562,22.335479,87.869477,4.560833454,4.732727051
1225,Songir,Maharashtra,Dhule,"21.050768,74.784939",21.050768,74.784939,432.0,24.63,3.901677721420211,21.050768,74.784939,6.308333397,4.670000076
1226,Sonho Fee Plaza,Bihar,Chhapra,"25.924418,84.967832",25.924418,84.967832,470.0,27.31,3.532320734722713,25.924418,84.967832,3.267499924,3.190909147
1227,"Sonkacch TOLL
PLAZA",Madhya Pradesh,Sehore,"23.360541,77.218446",23.360541,77.218446,364.0,19.82,4.803073967339097,23.360541,77.218446,8.489999771,6.952727318
1228,Sonvarsha Toll,Madhya Pradesh,Sidhi,"24.3958,81.8024",24.3958,81.8024,485.0,28.37,3.404834865509023,24.3958,81.8024,3.829166651,3.279999971
1229,Sonwa Toll Plaza,Rajasthan,Tonk,"26.1098541,75.7435763",26.1098541,75.7435763,338.0,17.99,5.265929436545551,26.1098541,75.7435763,3.086666584,3.171818256
1230,"SONWAY Toll
Plaza",Madhya Pradesh,Indore,"22.6118196,75.7764414",22.6118196,75.7764414,341.0,18.2,5.208333333333334,22.6118196,75.7764414,14.06166649,17.23545456
