Index,Plaza Code,Plaza Name,"Concessio naire
Type",Plaza Type,Plaza Sub Typ,Sate,City,Concessionaire,Geo Codes,Longitude,Latitudes,,
71,85001,"Asanpur  Toll
Plaza",Conc.,TOLL,NATIONAL,Bihar,Supaul,SMS,"26.297778,86.632891",26.297778,86.632891,,
72,340030,"Ashiv TOLL
PLAZA",PF,TOLL,NATIONAL,Maharashtra,Ausa,NHAI,"18.1278333,76.3583021",18.1278333,76.3583021,,
73,536088,Ashta Toll Plaza,PF,TOLL,NATIONAL,Maharashtra,Ashta,"M/s Vanshika
Construction","18.470159, 76.751146",18.470159,76.751146,,
74,312038,Asoda,Conc.,TOLL,STATE,Haryana,Asoda,Skylark world,"28.725089,76.846528",28.725089,76.846528,,
75,320076,"Asroga Toll
Plaza",PF,TOLL,NATIONAL,Uttar Pradesh,Sultanpur,NHAI,"26.301062,81.9459196",26.301062,81.9459196,,
76,517003,Atal Tunnel Toll,PF,TOLL,STATE,Himachal Pradesh,Manali,SADA,"32.44013,77.16510",32.44013,77.1651,,
77,360030,Athur Toll Plaza,PF,TOLL,NATIONAL,Tamil Nadu,"Kanchipura
m",NHAI,"12.346862,79.779856",12.346862,79.779856,,
78,320132,"ATRAILA SHIV
GULAM Toll",PF,TOLL,NATIONAL,Uttar Pradesh,Lalganj,NHAI,"24.960572,82.276151",24.960572,82.276151,,
79,35002,ATTIBELLE,Conc.,TOLL,NATIONAL,Karnataka,"Bangalore
Urban",BETL,"12.776883,77.777119",12.776883,77.777119,,
80,556054,Baberu Km 43,Conc.,TOLL,STATE,Uttar Pradesh,Banda,UPEIDA,"25.4913,80.4700",25.4913,80.47,,
81,380032,"Babhaniyawan
Toll Plaza",PF,TOLL,NATIONAL,Bihar,Patna,Lalji Pathak,"25.498322, 84.488333",25.498322,84.488333,,
82,320067,Babina Toll Plaza,TOT,TOLL,NATIONAL,Uttar Pradesh,Jhansi,"Sh. Keshav
Agarwal","25.216966,78.464471",25.216966,78.464471,,
83,314028,Bachhwan,PF,TOLL,NATIONAL,Punjab,Balachaur,NHAI,"31.0114039,76.3898170",31.0114039,76.389817,,
84,320110,"Badagaon Toll
Plaza",PF,TOLL,NATIONAL,Uttar Pradesh,Balrampur,NHAI,"27.5055780,82.3748240",27.505578,82.374824,,
85,349014,Badaiyiguda,PF,TOLL,NATIONAL,Chhattisgarh,Jagdalpur,NHAI,"19.223505,81.932872",19.223505,81.932872,,
86,312027,"Badarpur
faridabad Toll",PF,TOLL,NATIONAL,Haryana,Faridabad,"Badarpur
Faridabad","28.476208,77.305485",28.476208,77.305485,,
87,320060,"Badauri Toll
Plaza",PF,TOLL,NATIONAL,Uttar Pradesh,Fatehpur,"M/s Bholanath
Rajpati Shukla","26.065386,80.657641",26.065386,80.657641,,
88,352031,"Badava Toll
Plaza",PF,TOLL,NATIONAL,Andhra Pradesh,Mylavaram,NHAI,"16.8503326,80.6335241",16.8503326,80.6335241,,
89,314015,Badbar,PF,TOLL,NATIONAL,Punjab,Sangrur,NHAI,"30.2476529,75.6396108",30.2476529,75.6396108,,
90,340028,"Badewadi TOLL
PLAZA",PF,TOLL,NATIONAL,Maharashtra,"Ahmednaga
r",NHAI,"19.172077,75.346182",19.172077,75.346182,,
91,545033,"Badgaon Toll
Plaza",BOT,TOLL,STATE,Madhya Pradesh,Khandwa,"Khandwa Agroh
Pathways","21.298056,76.321111",21.298056,76.321111,,
