ReadDateTime,merchantId,PV,FV,Total
2024-01-31,560022,1320455,229598,1550053
2024-02-29,560022,1266023,250198,1516221
2024-03-31,560022,1296535,267725,1564260
2024-04-30,560022,1254727,233524,1488251
2024-05-31,560022,1209570,242296,1451866
2023-05-31,570010,4,2,6
2023-06-30,570010,78896,46880,125776
2023-07-31,570010,75211,47399,122610
2023-08-31,570010,74820,50413,125233
2023-09-30,570010,68634,47342,115976
2023-10-31,570010,61964,52834,114798
2023-11-30,570010,73519,43582,117101
2023-12-31,570010,71377,50677,122054
2024-01-31,570010,66784,46592,113376
2024-02-29,570010,73917,50837,124754
2024-03-31,570010,70034,53061,123095
2024-04-30,570010,67977,46580,114557
2024-05-31,570010,70426,47322,117748
2023-05-31,570013,2,3,5
2023-06-30,570013,68262,34769,103031
2023-07-31,570013,59369,35046,94415
2023-08-31,570013,58799,35690,94489
2023-09-30,570013,58784,33742,92526
2023-10-31,570013,76336,40223,116559
2023-11-30,570013,64149,34436,98585
2023-12-31,570013,63386,40555,103941
2024-01-31,570013,56943,34643,91586
2024-02-29,570013,71303,39619,110922
2024-03-31,570013,70124,39928,110052
2024-04-30,570013,70903,37949,108852
2024-05-31,570013,63823,36964,100787
2023-05-31,570028,12,13,25
2023-06-30,570028,71840,41133,112973
2023-07-31,570028,60849,44334,105183
2023-08-31,570028,64574,49328,113902
2023-09-30,570028,60887,43489,104376
2023-10-31,570028,64008,51857,115865
2023-11-30,570028,64052,44188,108240
2023-12-31,570028,62011,46388,108399
2024-01-31,570028,54601,39462,94063
2024-02-29,570028,55007,24365,79372
2024-03-31,570028,50507,12940,63447
2024-04-30,570028,50626,15168,65794
2024-05-31,570028,52722,13273,65995
2023-05-31,570024,2,0,2
2023-06-30,570024,23863,7280,31143
2023-07-31,570024,22680,5742,28422
2023-08-31,570024,23627,5572,29199
2023-09-30,570024,19926,4790,24716
2023-10-31,570024,20740,5585,26325
2023-11-30,570024,23744,4517,28261
2023-12-31,570024,27274,6238,33512
2024-01-31,570024,25790,6208,31998
2024-02-29,570024,27869,7232,35101
2024-03-31,570024,26983,11700,38683
2024-04-30,570024,26124,7529,33653
2024-05-31,570024,28811,8603,37414
2023-05-31,48001,10,19,29
2023-06-30,48001,165951,173047,338998
2023-07-31,48001,163031,181030,344061
2023-08-31,48001,166413,180663,347076
2023-09-30,48001,144636,169490,314126
2023-10-31,48001,163943,185823,349766
2023-11-30,48001,151533,160068,311601
2023-12-31,48001,157998,165974,323972
2024-01-31,48001,168156,169121,337277
2024-02-29,48001,157279,190089,347368
2024-03-31,48001,163642,205758,369400
2024-04-30,48001,160921,176691,337612
2024-05-31,48001,178240,181170,359410
2023-05-31,556017,10,5,15
2023-06-30,556017,90449,34218,124667
2023-07-31,556017,84824,29615,114439
2023-08-31,556017,84614,31384,115998
2023-09-30,556017,76224,24659,100883
2023-10-31,556017,91803,28100,119903
2023-11-30,556017,89239,34280,123519
2023-12-31,556017,105036,37293,142329
2024-01-31,556017,97204,28213,125417
2024-02-29,556017,91869,26756,118625
2024-03-31,556017,91471,30910,122381
2024-04-30,556017,99930,28357,128287
2024-05-31,556017,104070,32669,136739
2023-05-31,556022,7,6,13
2023-06-30,556022,76446,14390,90836
2023-07-31,556022,77808,12413,90221
2023-08-31,556022,76174,11729,87903
2023-09-30,556022,71092,10183,81275
2023-10-31,556022,79651,11918,91569
2023-11-30,556022,79495,11728,91223
2023-12-31,556022,82267,15776,98043
2024-01-31,556022,76844,14945,91789
2024-02-29,556022,80464,15777,96241
2024-03-31,556022,78690,15989,94679
2024-04-30,556022,82498,14666,97164
2024-05-31,556022,90531,16316,106847
2023-05-31,556020,3,1,4
2023-06-30,556020,58937,6978,65915
2023-07-31,556020,54737,5614,60351
2023-08-31,556020,46160,5358,51518
2023-09-30,556020,51058,5144,56202
2023-10-31,556020,51201,5324,56525
2023-11-30,556020,59952,5745,65697
2023-12-31,556020,61594,7752,69346
2024-01-31,556020,57452,6823,64275
2024-02-29,556020,55659,6918,62577
2024-03-31,556020,51347,7395,58742
2024-04-30,556020,57315,6467,63782
2024-05-31,556020,61334,6939,68273
