City,MSE,R²,Dew_Point_Coeff,Humidity_Coeff,Intercept
Bikaner,7.542635829883458,0.8957145020419522,0.9918404601665782,-0.36242111872336835,31.388297376263836
Davangere,3.7505433441343197,0.8105384514600139,0.8236714525389316,-0.2937574622149331,30.427182271030183
Durgapur,3.619047267407252,0.9147421799917285,1.0058261110815063,-0.30555117937806964,28.27905755568555
Jodhpur,5.050394152427065,0.8930589787227408,1.055095597001629,-0.3636789640788634,30.36523079935013
Balasore,0.6121193327295857,0.9779904881786888,1.0024589990084873,-0.2576168098002659,24.61688669169437
Bhilwara,4.648520985864771,0.9070933878152105,1.0134659631076348,-0.32365884568905745,28.956254155842814
Cuttack,1.0943809625472376,0.9552773466234643,0.9674571684600997,-0.2653609611552502,26.110094710846372
Bokaro,3.1840235242834782,0.9289904260518473,1.016378631236428,-0.30279444550565116,27.85860833960406
Ganganagar,2.2954779753576844,0.9718625737432935,0.9723339023968055,-0.29555047156321707,27.565113843643836
Pilkhua,2.20674568872463,0.9657050570327745,0.9867327932936444,-0.2888393709774533,27.17154251644265
Haveri,3.4093263492788224,0.8298547127767903,0.8777204235201079,-0.29215838577537867,29.506000903789214
Jaipur,4.2797998259788175,0.9041092117705137,1.0246048624149349,-0.3210417432150572,28.886752833469043
Porbandar,1.5897803277788871,0.868896784726133,1.037614692046312,-0.30444278746068265,27.21477690159961
Ghaziabad,3.018980464479677,0.9562157600786185,0.9671461838139883,-0.2972442069809235,28.137797751082523
Begusarai,3.030232956234154,0.9427135731149029,0.9478770709551483,-0.30368599584641426,29.216987609601173
Guwahati,0.22230775514136297,0.992123395068063,1.0126661614523107,-0.23254308763202491,22.393572783202515
Rae Bareli,2.8899880776402624,0.952806552389153,0.9690335355810789,-0.3037574556037082,28.64725435977372
Cuddapah,2.676864208607214,0.8960166957585398,0.726259970122818,-0.295986392459992,32.824600858454886
Pithapuram,0.4100513958754309,0.9701730396403014,0.9998649192207103,-0.25496368323944985,24.372868872254603
Jabalpur,3.324175351166192,0.9225125359722844,1.032074000170925,-0.3171820708123012,28.491830264298862
Pratapgarh,4.884474988402323,0.8696466873140895,1.0383345500979364,-0.32387372801428926,28.80258378908603
Bhiwani,3.911262985468552,0.9495395037325187,0.9385292615671101,-0.3032422118345117,28.884014953919184
Farakka,2.4619488968269683,0.9442401351827199,0.9875399219238423,-0.28981701471918564,27.41884579794314
Puranpur,1.7440285410886958,0.9713089008265408,0.9881420989922463,-0.27610978819928944,26.463987745464554
Bodhan,2.3909551519425047,0.8984520438074991,0.9852591795858349,-0.31392610823566613,28.658709127657858
Jind,2.758533986328242,0.9625158814896031,0.9549997660194084,-0.2927706767857469,27.893254127601576
Etawah,3.1301218961679065,0.9489258995916778,0.967264691693637,-0.3039487023310201,28.66275490276492
Bhopal,3.267805900396651,0.9143405905431232,1.0387965868543554,-0.31337819729135746,27.960961953370628
Bhatinda,2.837587069983121,0.9642313306675961,0.9582546444502583,-0.2958541958639659,27.9548904848868
Jalna,3.3456220176133478,0.8766545346921939,1.050002768688742,-0.33395958581961815,28.89112451897129
Gulbarga,3.0305398282658906,0.8613144267372507,0.9684144244774611,-0.3280472976029993,29.763270093400127
Ganjam,0.2938930667031695,0.9809129832726267,0.977941511155583,-0.24143881567006814,23.850129580196484
Jaunpur,3.453040237349308,0.9430722538153756,0.9675283426539679,-0.3077774452614507,29.051472188912534
Barwani,3.592145674836213,0.8972037506874245,1.0158426529157487,-0.3270981286993825,29.09519334232365
Jamnagar,2.213557355857701,0.9124770005392163,0.9947909345577594,-0.29762937316814847,27.666969841561485
Adalaj,4.735271543512677,0.8692278857495389,1.0708181195958908,-0.35081890902611307,29.57806206921849
Darbhanga,2.339827381601287,0.9551479879465176,0.9672633858366648,-0.2911544289239499,27.856426416559618
Alwar,3.5744996034587544,0.9392310291273288,0.9881270928202581,-0.31077961862481773,28.493185452861663
Deogarh,2.124359057202309,0.9201155677812429,1.021038552732247,-0.2981026857182191,27.28646558231004
Dewas,5.04564526642488,0.865784868188485,1.024577909522789,-0.33251163218833873,29.479243431227932
Ratlam,4.386852093468595,0.8766120755033927,1.0706613152322657,-0.32946918471109843,28.5571511069941
Ranchi,3.211584988112065,0.9117333748342843,1.0664144248727532,-0.3109979859730855,27.521212289460752
Hassan,2.392829338233577,0.8606492142394185,0.8189874699175549,-0.26095855957188896,28.071691743314467
Perambalur,0.9975485294167376,0.9485026110364648,0.8664414452651186,-0.27544873407459924,28.781567212614185
Fazilka,2.6846582420023424,0.9668208512490607,0.9619687712135754,-0.2976785190242713,27.96934755786754
Raiganj,1.670297928081322,0.9595427037494361,0.9932417490529912,-0.2725962945586627,25.966842191260454
Bagalkot,3.4689721003626866,0.8285602896332251,0.8762620789168544,-0.3224189205348397,30.963113297970576
Jalpaiguri,0.4386731189145805,0.9877602338284285,1.0170572291551692,-0.24207199304115137,23.059873572815526
Rampur,3.916442889566992,0.9321094745390269,0.9439922709691192,-0.3125279333137822,29.970066335744598
Anantapur,3.0146314148898745,0.8674659196955783,0.7623080864989746,-0.30967011820746004,32.496270439098154
Jaspur,1.2239152960354704,0.9794661299855236,1.000501813327153,-0.2699215512871794,25.519727158617286
Fatehabad,2.8105595995388257,0.948396876952147,0.9569253206560963,-0.29715990741383985,28.587091221451736
Damoh,3.4956571156974277,0.9268462110890408,1.013076028432161,-0.3113325961122861,28.36358206977023
Rajkot,3.8764479519525112,0.8830329870954106,1.058708193659554,-0.33319863367515695,28.90361588255991
Amritsar,1.8009022906552932,0.9759892559489051,0.976990330162411,-0.27688641657127494,26.516177795733025
Dhanbad,4.988742624536374,0.8882783467942458,1.031830604475984,-0.325203675224018,29.087420052340786
Chhatarpur,3.5904826688641363,0.9284397266603368,1.0092811468165217,-0.31490234229178116,28.62736389582828
Indore,4.30924282061438,0.8766809071199455,1.0466018657183513,-0.32711215984661834,28.729571052469367
Chittaurgarh,4.329675085864838,0.9112407755027818,1.016160852382851,-0.317600720195392,28.64536636901994
Aligarh,3.0106514564979143,0.9546589296286466,0.9612635478564683,-0.3005118025206322,28.477903758110475
Ambala,1.6467419685015354,0.9234359175604171,0.9922450725016819,-0.29520738770805993,27.301993438835098
Ariyalur,0.8801786254938296,0.9530615494339447,0.8266398866141837,-0.26482203320812875,29.022569760501433
Rajgarh,3.767700994391694,0.8763917511417514,1.0644378599754307,-0.32260533093427135,28.155197158734342
Darjeeling,0.1989437041616655,0.9926923678538379,1.0275904792232946,-0.21220983941965274,20.409014690037388
Rewa,2.678099629344068,0.947608397041227,0.9944471050563023,-0.3002627852794338,27.866893486821553
Guna,5.218966489413721,0.8836514201928958,1.0088143889530916,-0.32418501041178194,29.35237708855385
Pithampur,3.647501618019077,0.8887086795065703,1.0578566872411757,-0.32126345189622574,28.167232836917982
Jhabua,2.627057504280918,0.9185903930819507,1.0810490525528555,-0.3174683548971086,27.356186702025834
Jalgaon,3.5952792753681635,0.879831193347628,1.0767185492986961,-0.34138847474623735,28.89221294892396
Palghar,1.6313174818887337,0.8991781353396611,1.0252844315022422,-0.28457796525158935,26.123682280476395
Jaisalmer,7.152368834923926,0.8910651799887372,1.009893448704899,-0.37370035536100304,31.584135414962592
