Index,Plaza Name,City,Geo Codes,Longitude,Latitudes,,,,,,,,
105,"Bahoripar TOLL
PLAZA",Jabalpur,"23.04675,79.9073666",23.04675,79.9073666,,,,,,,,
106,Bahri Toll Plaza,Bahri,"29.485337, 76.512439",29.485337,76.512439,,,,,,,,
107,Bainsi Toll Plaza,Bainsi,"29.026614, 76.399856",29.026614,76.399856,,,,,,,,
108,Baiti Kala Plaza,Sultanpur,"26.054337 ,82.339392",26.054337,82.339392,,,,,,,,
109,"Bajna Ramp Toll
Plaza",Mathura,"27.883269, 77.666004",27.883269,77.666004,,,,,,,,
110,"Bajrangarh Toll
Plaza",Guna,"24.575655,77.286901",24.575655,77.286901,,,,,,,,
111,Bakori,Damoh,"22.8436452,79.3582326",22.8436452,79.3582326,,,,,,,,
112,Bakrol Toll Plaza,Ahmedabad,"22.935230, 72.519760",22.93523,72.51976,,,,,,,,
113,"Balachera Toll
Plaza",Cachar,"24.946609,92.756356",24.946609,92.756356,,,,,,,,
114,Balana Toll Plaza,Pali,"25.293327,73.085753",25.293327,73.085753,,,,,,,,
115,Baleni Fee Plaza,Baleni,"28.959724,77.443155",28.959724,77.443155,,,,,,,,
116,"Balgudar Toll
Plaza",Lakhisarai,"25.202348,86.081872",25.202348,86.081872,,,,,,,,
117,"Balibhasa Toll
Plaza",Balibhasa,"22.34462627,87.12665241",22.34462627,87.12665241,,,,,,,,
118,"Balluana Toll
Plaza",Bhatinda,"30.227490, 74.763624",30.22749,74.763624,,,,,,,,
119,Baloh Toll Paza,Baloh,31.42038 76.7983,31.42038,76.7983,,,,,,,,
120,"Bamanbore
TOLL PLAZA","Surendranag
ar","22.4097,71.0155",22.4097,71.0155,,,,,,,,
121,"Bamhori Kumari
Toll Plaza",Mahoba,"25.357245, 79.427843",25.357245,79.427843,,,,,,,,
122,Bamla Toll Plaza,Bhiwani,"28.804800, 76.223200",28.8048,76.2232,,,,,,,,
123,Banajodi,Keonjhar,"21.7096842,85.5834615",21.7096842,85.5834615,,,,,,,,
124,Banda Km 50,Banda,"25.5275,80.4036",25.5275,80.4036,,,,,,,,
125,Bandapalli,Rayachoti,"14.131169,78.756820",14.131169,78.75682,,,,,,,,
126,"Bandlapalli Toll
Plaza",Bandlapalli,"13.336395, 78.612892",13.336395,78.612892,,,,,,,,
127,Baneti Toll Plaza,Sandur,"15.1520743,76.6083795",15.1520743,76.6083795,,,,,,,,
128,"Banglaore-
Nelamangala","Bangalore
Rural","13.090678,77.399788",13.090678,77.399788,,,,,,,,
129,Bankapur,Haveri,"14.90999,75.2798",14.90999,75.2798,,,,,,,,
130,Bann Toll Plaza,Udhampur,"32.838928,74.940536",32.838928,74.940536,,,,,,,,
131,"Bannerghatta
Road (P2) Plaza",Bengaluru,"12.850056,77.588333",12.850056,77.588333,,,,,,,,
132,"Bansa (Damoh)
Toll Plaza",Damoh,"23.805957, 79.370837",23.805957,79.370837,,,,,,,,
133,Banskopa Plaza,Durgapur,"23.4916993,87.3768623",23.4916993,87.3768623,,,,,,,,
134,Banthri,Ajmer,"27.271443,74.345791",27.271443,74.345791,,,,,,,,
135,"Banushi Toll
Plaza",Dehradun,"28.932477,79.929189",28.932477,79.929189,,,,,,,,
136,Bara Toll Plaza,Haidergarh,"26.6294023,81.3329506",26.6294023,81.3329506,,,,,,,,
137,Barai Toll Plaza,Raiganj,"25.670914, 88.080268",25.670914,88.080268,,,,,,,,
138,"Barajore toll
plaza","Kanpur
Dehat","26.3854208,80.018945",26.3854208,80.018945,,,,,,,,
139,"Baretha KM
21.120",Gwalior,"26.320813,78.272572",26.320813,78.272572,,,,,,,,
140,Baretha or Jajau,Agra,"26.932005,77.933357",26.932005,77.933357,,,,,,,,
141,"Barkheda Toll
Plaza",Jaipur,"26.68816,75.904726",26.68816,75.904726,,,,,,,,
142,Baroli Toll Plaza,Indore,"22.816212,75.848384",22.816212,75.848384,,,,,,,,
143,Baros Toll Plaza,Hathras,"27.335508,78.031048",27.335508,78.031048,,,,,,,,
144,"Barsalpur Toll
Plaza",Goru,"28.047877, 72.349573",28.047877,72.349573,,,,,,,,
145,"Barsoni Toll
Plaza",Purnia,"25.804725,87.590748",25.804725,87.590748,,,,,,,,
146,"Basanthnagar
Toll Plaza",Karimnagar,"18.7042, 79.417",18.7042,79.417,,,,,,,,
147,"Basapuram Toll
Plaza",Mydukur,"14.7082937,78.8723146",14.7082937,78.8723146,,,,,,,,
148,"Basheerapur
Toll Plaza",Kannauj,"27.073778, 79.843390",27.073778,79.84339,,,,,,,,
149,Bass Toll Plaza,Bass,"29.127304,76.209427",29.127304,76.209427,,,,,,,,
150,Bassi,Chittaurgarh,"25.033192,74.816392",25.033192,74.816392,,,,,,,,completed
151,"Baswant Toll
Plaza",Nashik,"20.141754,73.9764485",20.141754,73.9764485,,,,,,,,
152,"Bathalapalli Toll
Plaza",Bathalapalli,"14.50018,77.79659",14.50018,77.79659,,,,,,,,
153,"Beechagondana
halli","Beechagond
anahalli","13.263241, 77.944733",13.263241,77.944733,,,,,,,,
154,"Beer Mandi Toll
Plaza",Suket,"24.642639, 76.027472",24.642639,76.027472,,,,,,,,
155,Behram,Behram,"31.2044330,75.8767990",31.204433,75.876799,,,,,,,,
156,Bela,Sagar,"25.076435,79.327525",25.076435,79.327525,,,,,,,,
157,Bela Toll Plaza,"Rampur
Baghelan","24.493444, 81.143406",24.493444,81.143406,,,,,,,,
158,Belekeri,Hattikeri,"14.7104272,74.2935113",14.7104272,74.2935113,,,,,,,,
159,Belgada Toll Plaza,Gorakhpur,"27.11918695074507,
82.89602275148907",27.11918695,82.89602275,,,,,,,,
160,"Beliyad toll
plaza",Dhanbad,"23.763627,86.79803",23.763627,86.79803,,,,,,,,
161,Bellur Toll Plaza,Mandya,"12.9628049,76.7704144",12.9628049,76.7704144,,,,,,,,
162,"Belon TOLL
PLAZA",Narora,"28.1884316,78.3480532",28.1884316,78.3480532,,,,,,,,
163,Belsari,Ghazipur,"25.6376960, 83.8398360",25.637696,83.839836,,,,,,,,
164,"Bhadarabad
TOLL PLAZA",Bhadarabad,"29.911694,78.020722",29.911694,78.020722,,,,,,,,
165,"Bhadbhid Fee
Plaza",Bhavnagar,"21.985168, 72.091870",21.985168,72.09187,,,,,,,,
166,"Bhadera Toll
Plaza",Bikaner,"28.594353,73.810058",28.594353,73.810058,,,,,,,,
167,"Bhadesar Toll
Plaza",Jogbani,"26.343119,87.236811",26.343119,87.236811,,,,,,,,
168,"Bhadoti Toll
Plaza","Sawai
Madhopur","26.224711, 76.370728",26.224711,76.370728,,,,,,,,
169,"Bhagada
Narayanpur Toll",Bhadrak,"20.944516, 86.327633",20.944516,86.327633,,,,,,,,
170,Bhagalpur Toll,Bhagalpur,"25.2322,87.0094",25.2322,87.0094,,,,,,,,
171,"Bhagan Toll
Plaza",Sonipat,"29.071744,77.0601904",29.071744,77.0601904,,,,,,,,
172,"BHAGOMAJRA
TOLL PLAZA",SAS NAGAR,"30.760763,76.607911",30.760763,76.607911,,,,,,,,
173,"Bhagupur Toll
Plaza",Jammu,"29.910500, 76.507130",29.9105,76.50713,,,,,,,,
174,"Bhagwada Toll
Plaza",Valsad,"20.43495,72.917204",20.43495,72.917204,,,,,,,,
175,"Bhagwanpur
Toll Plaza",Bhagwanpur,"29.931253,77.820383",29.931253,77.820383,,,,,,,,
176,"Bhalgam Toll
Plaza","Banaskanth
a","23.912345,71.783983",23.912345,71.783983,,,,,,,,
177,"Bhalkhi Toll
Plaza",Bhalkhi,"28.208603, 76.203269",28.208603,76.203269,,,,,,,,
178,"Bhamb Raja Toll
Plaza",Yavatmal,"20.2348930,78.0174340",20.234893,78.017434,,,,,,,,
179,"Bhandaraj Fee
Plaza",Dausa,"26.916680, 76.432023",26.91668,76.432023,,,,,,,,
180,"Bharatkhund
TOLL PLAZA",Varanasi,"26.635829,82.126764",26.635829,82.126764,,,,,,,,
181,"Bharudi Toll
Plaza",Rajkot,"21.805381,70.663976",21.805381,70.663976,,,,,,,,
182,"Bharvir Toll
Plaza",Nashik,"19.752854, 73.775314",19.752854,73.775314,,,,,,,,
183,Bhat Toll Plaza,Ahmedabad,"23.115640, 72.642100",23.11564,72.6421,,,,,,,,
184,"Bhatia  Toll
Plaza",Surat,"21.090354,72.922502",21.090354,72.922502,,,,,,,,
185,"Bhatwada Toll
Plaza",Dahod,"22.79296,73.842845",22.79296,73.842845,,,,,,,,
186,Bhavdeen Plaza,Sirsa,"29.5326385,75.2009966",29.5326385,75.2009966,,,,,,,,
187,Bhelara,Sultanpur,"26.2269380, 82.6707030",26.226938,82.670703,,,,,,,,
188,"Bhiknoor Toll
Plaza",Nizamabad,"18.20539,78.398299",18.20539,78.398299,,,,,,,,
189,Bhiladi Toll Plaza,"Banaskanth
a","24.143877,71.977151",24.143877,71.977151,,,,,,,,
190,"Bhimpura Toll
Plaza",Bhind,"26.657489,78.869295",26.657489,78.869295,,,,,,,,
191,"BhitahaToll
Plaza",Gorakhpur,"26.59920,83.40222",26.5992,83.40222,,,,,,,,
192,Bhiwadi Toll,Alwar,"28.174303, 76.824531",28.174303,76.824531,,,,,,,,
193,"Bhiwandi Toll
Plaza",Thane,"19.281255, 73.048291",19.281255,73.048291,,,,,,,,
194,"Bhojpur Plaza
DME KM 4570",Ghaziabad,"28.800192,77.619238",28.800192,77.619238,,,,,,,,
195,"Bhojpuri Toll
Plaza",Saragaon,"21.9322781,82.0123636",21.9322781,82.0123636,,,,,,,,
196,"Bhooka Toll
Plaza",Barmer,"25.640861, 72.000211",25.640861,72.000211,,,,,,,,
197,"Bhopal Vidisha
Toll Plaza","Sukhisewani
a","23.371140, 77.502870",23.37114,77.50287,,,,,,,,
198,"Bhordu Toll
Plaza",Bhordu,"24.494001,72.268802",24.494001,72.268802,,,,,,,,
199,"Bhourasa Toll
Plaza",Dewas,"22.9751708,76.2184202",22.9751708,76.2184202,,,,,,,,
200,"Bhramanapalli
Toll Plaza","Bhramanapa
lli","14.7359233,79.0492478",14.7359233,79.0492478,,,,,,,,complete 
201,Bhuni Toll Plaza,Meerut,"29.125868,77.576617",29.125868,77.576617,,,,,,,,
202,"Bhuteda Toll
Plaza",Jaora,"23.5968864,75.1640542",23.5968864,75.1640542,,,,,,,,
203,"Bideibadkudar
Toll Plaza",Deogarh,"21.505816,85.058237",21.505816,85.058237,,,,,,,,
204,"Bijanhai Toll
Plaza",Silwani,"23.131733,78.506008",23.131733,78.506008,,,,,,,,
205,"Bijapur Toll
Plaza",Bijapur,"16.786741,75.739648",16.786741,75.739648,,,,,,,,
206,Bilakbarpur,Bilakbarpur,"28.520428,77.600397",28.520428,77.600397,,,,,,,,
207,"Bilantri TOLL
PLAZA",Ujjain,"24.020435,75.290547",24.020435,75.290547,,,,,,,,
208,Billaua Toll Plaza,Gwalior,"26.055268,78.252663",26.055268,78.252663,,,,,,,,
209,"Binaswas Toll
Plaza",Bilara,"26.121857, 74.062484",26.121857,74.062484,,,,,,,,
210,BIRAMI,Pali,"25.371114,73.201486",25.371114,73.201486,,,,,,,,
211,"Biratiya Toll
Plaza",Jaitaran,"26.121857, 74.062484",26.121857,74.062484,,,,,,,,
212,"Bisalwas Toll
Plaza",Jhajjar,"28.468107,75.889119",28.468107,75.889119,,,,,,,,
213,Bisanda Km 24,Banda,"25.4138,80.5719",25.4138,80.5719,,,,,,,,
214,"Bishunpurwa
Toll Plaza",Motihari,"26.9970148,84.375504",26.9970148,84.375504,,,,,,,,
215,"Bochasan Toll
Plaza",Anand,"22.4133460,72.8518924",22.413346,72.8518924,,,,,,,,
216,Bogalur,"Ramnathpur
am","9.3981517,78.7140107",9.3981517,78.7140107,,,,,,,,
217,Bolangir,Bolangir,"20.740615,83.630556",20.740615,83.630556,,,,,,,,
218,"Bollapalli Toll
Plaza",Prakasam,"15.886754,80.070843",15.886754,80.070843,,,,,,,,
219,Bongulur,Hyderabad,"17.141561, 78.350437",17.141561,78.350437,,,,,,,,
220,Bonli Toll Plaza,Sawai Madhopur,"26.333262172107283,
76.24529151966289",26.33326217,76.24529152,,,,,,,,
221,"Boothakudi Toll
Plaza",Pudukkottai,"10.64127,78.581277",10.64127,78.581277,,,,,,,,
222,"Bor Charnan Toll
Plaza",Barmer,"25.1018238,71.5596583",25.1018238,71.5596583,,,,,,,,
223,Boras Toll Plaza,Gardarwada,"23.03015,78.514381",23.03015,78.514381,,,,,,,,
224,"Borgaon Toll
Plaza",Miraj,"17.000291, 74.783872",17.000291,74.783872,,,,,,,,
225,"Boriach Toll
Plaza",Navsari,"20.885548,73.052162",20.885548,73.052162,,,,,,,,
226,"BORKHEDI TOLL
PLAZA",Wardha,"20.85612,78.963632",20.85612,78.963632,,,,,,,,
227,"Brahamarakotlu
Toll Plaza","Dakshina
Kannada","12.8751,75.0039",12.8751,75.0039,,,,,,,,
228,"Brijghat Toll
Plaza",Hapur,"28.767149,78.110043",28.767149,78.110043,,,,,,,,
229,"Brindawan Fee
Plaza",Chhapra,"25.7478818,84.9518215",25.7478818,84.9518215,,,,,,,,
230,"BSC-C&C Kurali
Toll Plaza",Rupnagar,"30.908345,76.545373",30.908345,76.545373,,,,,,,,
231,"Buchawas Toll
Plaza",Buchawas,"28.304683, 76.223563",28.304683,76.223563,,,,,,,,
232,"Buchireddypale
m Toll Plaza",Nellore,"14.543497,79.862213",14.543497,79.862213,,,,,,,,
233,"BUDDAREDDYH
ALLI TOLL PLAZA",PAVAGADA,"14.121006,77.153804",14.121006,77.153804,,,,,,,,
234,"Budhanam Plaza
(NH- 16)",Nellore,"14.059589,79.894624",14.059589,79.894624,,,,,,,,
235,Bungri Toll Plaza,Jodhpur,"27.3481934,73.1086112",27.3481934,73.1086112,,,,,,,,
236,"BYADARAHALLI
TOLL PLAZA",GORUR,"12.521607,76.041609",12.521607,76.041609,,,,,,,,
237,"Central Server
plaza",Chennai,"12.8616039,80.1718917",12.8616039,80.1718917,,,,,,,,
238,"Central Server
Toll Plaza",Chennai,"12.9564,80.2412",12.9564,80.2412,,,,,,,,
239,Chabri Toll Plaza,Chabri,"29.197681, 76.469761",29.197681,76.469761,,,,,,,,
240,"Chachadgaon
Toll Plaza",Nashik,"20.223616, 73.664849",20.223616,73.664849,,,,,,,,
241,Chachakhedi,Agar,"23.582090,76.189842",23.58209,76.189842,,,,,,,,
242,"Chagalmarri Toll
Plaza",Kurnool,"14.979577,78.574764",14.979577,78.574764,,,,,,,,
243,Chahar Toll,Ludhiana,"30.9887,75.7908",30.9887,75.7908,,,,,,,,
