Index,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),2023,2024
230,Rupnagar,"30.908345,76.545373",30.908345,76.545373,882,56.43,7.776666641,8.18636322
231,Buchawas,"28.304683, 76.223563",28.304683,76.223563,718,44.84,14.67583275,14.25090885
232,Nellore,"14.543497,79.862213",14.543497,79.862213,740,46.4,3.305000067,2.572727203
233,PAVAGADA,"14.121006,77.153804",14.121006,77.153804,600,36.5,1,1
234,Nellore,"14.059589,79.894624",14.059589,79.894624,576,34.81,2.465000153,2.304545403
235,Jodhpur,"27.3481934,73.1086112",27.3481934,73.1086112,677,41.94,3.589166641,13.02818203
236,GORUR,"12.521607,76.041609",12.521607,76.041609,754,47.39,1,1
237,Chennai,"12.8616039,80.1718917",12.8616039,80.1718917,574,34.66,9.125,9.82818222
238,Chennai,"12.9564,80.2412",12.9564,80.2412,721,45.05,37.7816658,36.29090881
239,Chabri,"29.197681, 76.469761",29.197681,76.469761,518,30.71,1.459166646,1.618181825
240,Nashik,"20.223616, 73.664849",20.223616,73.664849,759,47.74,2.079999924,2.229090929
241,Agar,"23.582090,76.189842",23.58209,76.189842,726,45.41,1,1.295454502
242,Kurnool,"14.979577,78.574764",14.979577,78.574764,488,28.59,3.207499981,5.265454769
243,Ludhiana,"30.9887,75.7908",30.9887,75.7908,699,43.5,7.682499886,6.919091225
244,Jalandhar,"31.0241526,75.3044463",31.0241526,75.3044463,568,34.24,1.688333273,1.50727272
245,Ujjain,"23.2547289,75.7179749",23.2547289,75.7179749,540,32.26,2.036666632,2.75090909
246,Haveri,"14.556782,75.728072",14.556782,75.728072,672,41.59,4.876666546,6.853636265
247,Pune,"19.1700886,74.0751759",19.1700886,74.0751759,655,40.39,8.923333168,5.71454525
248,Jalaun,"26.036608,79.577976",26.036608,79.577976,688,42.72,4.922500134,4.397272587
249,Nagpur,"20.967070, 79.204168",20.96707,79.204168,646,39.75,5.606666565,3.309090853
250,Sagar,"23.887470, 78.870000",23.88747,78.87,508,30,5.115000248,4.050000191
251,"Murshidaba
d","24.563182,88.019993",24.563182,88.019993,662,40.88,7.119999886,12.54090881
252,Panchkula,"30.738834,76.897977",30.738834,76.897977,755,47.46,16.57583427,16.74454498
253,Chandlana,"29.861128, 76.641341",29.861128,76.641341,656,40.46,20.85333252,15.88636398
254,Pune,"18.8377812,73.8800121",18.8377812,73.8800121,756,47.53,9.527500153,10.92545509
255,Nashik,"20.325219,74.210736",20.325219,74.210736,702,43.71,5.644999981,8.720909119
256,Nandyal,"15.460198, 78.451697",15.460198,78.451697,698,43.43,8.189167023,9.924545288
257,Indore,"23.6570433,76.6148339",23.6570433,76.6148339,677,41.94,7.385833263,6.010909081
258,Chhapra,"26.0265755,84.4909225",26.0265755,84.4909225,718,44.84,1.352499962,1.311818123
259,Nagaur,"27.349756, 74.671431",27.349756,74.671431,524,31.13,2.376666784,2.680909157
260,Patna,"26.731065,84.748063",26.731065,84.748063,698,43.43,3.19083333,2.849999905
261,Palghar,"19.890544,72.942644",19.890544,72.942644,899,57.63,2.702500105,2.906363726
262,Dindigul,"10.480588,77.637335",10.480588,77.637335,547,32.76,12.89916611,22.89727211
263,Mudgal,"15.910173,76.4463210",15.910173,76.446321,714,44.56,1,1
264,"Chaudhariw
as","28.9974934,75.6043331",28.9974934,75.6043331,681,42.23,9.922499657,11.34000015
265,Basti,"26.781298,82.417008",26.781298,82.417008,801,50.71,3.633333206,3.545454502
266,Ludhiana,"30.82474,75.59007",30.82474,75.59007,816,51.77,10.52000046,11.38636398
267,Vellore,"12.910943,79.40121",12.910943,79.40121,681,42.23,9.414999962,8.264545441
268,Pilkhua,"28.7017268,77.6197457",28.7017268,77.6197457,794,50.21,22.36333275,20.12545395
269,,,,,,,9.700833321,10.94909096
270,"Muzaffarnag
ar","29.585833,77.778333",29.585833,77.778333,711,44.35,8.499166489,7.817272663
271,Jhajjar,"28.7128790,76.7249370",28.712879,76.724937,660,40.74,5.985833168,6.229090691
272,Sanchore,"24.674000, 71.827100",24.674,71.8271,610,37.21,3.5,3.726363659
273,"Mahasamun
d","21.299821,82.942781",21.299821,82.942781,607,37,7.653333187,7.203636169
274,Amritsar,"31.617167,74.692378",31.617167,74.692378,680,42.16,3.858333349,6.393636227
275,Betul,"21.842211,78.433626",21.842211,78.433626,708,44.13,2.088333368,1.159090877
276,Ratlam,"23.2305,75.1270",23.2305,75.127,549,32.9,3.75999999,4.191818237
277,Srikakulam,"18.273462,83.807965",18.273462,83.807965,757,47.6,7.590000153,6.336363792
278,Badi,"26.6132644,77.5154327",26.6132644,77.5154327,680,42.16,1,1
279,Krishna,"16.885015,80.160654",16.885015,80.160654,699,43.5,10.16250038,8.261817932
280,Nellore,"15.698996,80.237627",15.698996,80.237627,768,48.37,4.090000153,4.060909271
281,Chikodi,"16.418376,74.540661",16.418376,74.540661,719,44.91,1.534166694,1.230909109
282,Chennai,"13.253075,80.2387214",13.253075,80.2387214,627,38.41,10.5666666,8.588181496
283,"Chinthalapal
em","13.7881724,79.5894634",13.7881724,79.5894634,561,33.75,1.426666617,2.125454426
284,Madurai,"9.8767572,78.1349936",9.8767572,78.1349936,641,39.4,4.433333397,3.624545336
285,Chinthapally,"17.471528, 79.980556",17.471528,79.980556,809,51.27,1.254999995,1.454545498
286,Jalaun,"26.1611,79.2797",26.1611,79.2797,633,38.83,17.18250084,20.66818237
287,Chitlapalli,"17.0811,77.5810",17.0811,77.581,731,45.76,1.786666632,1.554545403
288,Sagar,"23.725416,78.809126",23.725416,78.809126,677,41.94,4.090000153,3.278181791
289,Karwi,"25.2513,80.7444",25.2513,80.7444,638,39.19,8.699167252,8.644545555
290,Madurai,"9.989594,78.244086",9.989594,78.244086,594,36.08,7.909166813,7.418181896
291,Kadapa,"14.810899,78.338884",14.810899,78.338884,767,48.3,1,1
292,GOHAD,"26.3317760,78.4896370",26.331776,78.489637,659,40.67,1,1
293,Dhar,"22.9310,75.2507",22.931,75.2507,838,53.32,4.372499943,3.899091005
294,Tumkur,"13.302065,77.161956",13.302065,77.161956,714,44.56,10.78666687,9.480909348
295,Hindupur,"13.811786, 77.576451",13.811786,77.576451,683,42.37,1.815000057,2.369999886
296,Hoshiarpur,"31.624658,75.640296",31.624658,75.640296,699,43.5,4.864166737,8.122727394
297,Rewa,"24.5483246,81.3467263",24.5483246,81.3467263,641,39.4,11.77916622,13.15636349
298,Surat,"21.303367,72.95418",21.303367,72.95418,374,20.53,10.97749996,12.3381815
299,Korba,"22.7662305,82.4799789",22.7662305,82.4799789,660,40.74,2.264166594,1.784545422
300,"Chottian,
District","29.829579,75.785305",29.829579,75.785305,414,23.36,1.169166684,6.527272701
301,Morena,"26.48840, 77.98028",26.4884,77.98028,1020,66.18,20.27083397,18.99363708
302,Morena,"26.468079,78.010109",26.468079,78.010109,867,55.37,12.16583347,11.48272705
303,Guna,"24.049466, 77.649413",24.049466,77.649413,721,45.05,2.400000095,1.766363621
304,Bengaluru,"12.884139,77.501694",12.884139,77.501694,613,37.42,24.70666695,21.53909111
305,"BETTADAPU
RA","12.4421692,76.1016017",12.4421692,76.1016017,679,42.08,1.639166713,1.673636317
306,Delhi,"28.603991,77.269563",28.603991,77.269563,870,55.58,29.17499924,28.73454475
307,"Dharmavara
m","14.6853947,79.5155303",14.6853947,79.5155303,615,37.56,1.033333302,1.154545426
308,Sikar,"27.71179,75.21063",27.71179,75.21063,729,45.62,1.418333292,1.511818171
309,,,,,,,18.31083298,22.35090828
310,Varanasi,"25.248275,82.994017",25.248275,82.994017,614,37.49,14.3125,18.99909019
311,Datia,"25.6158907,78.4787578",25.6158907,78.4787578,603,36.71,8.438333511,7.381818295
312,Bongoigaon,"26.476602,90.712074",26.476602,90.712074,758,47.67,2.085000038,1.821818113
313,Panipat,"29.31922,76.918442",29.31922,76.918442,601,36.57,4.521666527,3.946363688
314,Mumbai,"19.2587,72.8718",19.2587,72.8718,734,45.97,22.43833351,25.87272644
315,Udaipur,"24.500543, 73.720874",24.500543,73.720874,741,46.47,13.33416653,20.31272697
316,Rae Bareli,"26.5244139,81.0661465",26.5244139,81.0661465,617,37.7,9.902500153,10.1427269
317,Orai,"25.8653,79.4241",25.8653,79.4241,505,29.79,13.29083347,14.47636318
318,Dalavada,"75.408085, 23.97131509",23.97131509,75.408085,815,51.7,1.739166617,4.132727146
319,Dal Sagar,"25.580548, 84.060688",25.580548,84.060688,598,36.36,10.75666714,13.9981823
320,,,,,,,3.999166727,4.03727293
321,Bhopal,"22.424746, 75.072311",22.424746,75.072311,678,42.01,1.519166708,1.340000033
322,Hooghly,"22.698891,88.288862",22.698891,88.288862,646,39.75,14.88666725,18.11636353
323,Moga,"30.840344, 74.976922",30.840344,74.976922,680,42.16,6.448333263,5.96818161
324,Gir Somnath,"20.961278,70.334386",20.961278,70.334386,641,39.4,5.103333473,6.407272816
325,Darjing,"21.931642, 84.892881",21.931642,84.892881,437,24.98,8.640832901,8.433636665
326,Wardha,"20.450625,78.755243",20.450625,78.755243,544,32.54,1.372499943,1.25818181
327,Dasana,"28.687737,77.535805",28.687737,77.535805,632,38.76,15.43666649,19.22636414
328,Malkapur,"20.972921, 76.179151",20.972921,76.179151,567,34.17,8.288333893,13.6254549
329,Ghaziabad,"28.674961,77.495589",28.674961,77.495589,516,30.57,55.39666748,50.18181992
330,"Datala
Village","20.82554091,76.2021409",20.82554091,76.2021409,536,31.98,1.725833416,1.467272758
331,Bhander,"25.716217,78.701949",25.716217,78.701949,545,32.61,1.230000019,1.261818171
332,Jhabua,"22.741519,74.836537",22.741519,74.836537,721,45.05,5.078333378,6.370909214
333,,,,,,,2.270833254,2.920000076
334,Jaipur,"27.0868994,75.8345568",27.0868994,75.8345568,800,50.64,5.827499866,4.880000114
335,Kankipadu,"16.4125284,80.7880218",16.4125284,80.7880218,666,41.17,4.106666565,3.294545412
336,"West
Medinipur","22.397144,87.522855",22.397144,87.522855,598,36.36,6.299166679,6.657272816
337,Pune,"18.700286,73.692154",18.700286,73.692154,483,28.23,13.21000004,16.22818184
338,Ri-Bhoi,"25.649086,92.047615",25.649086,92.047615,441,25.27,1.023333311,1.00636363
339,Ratlam,"23.417531,74.996667",23.417531,74.996667,452,26.04,1.657500029,2.328181744
340,Jodhpur,"26.30662, 72.5873316",26.30662,72.5873316,549,32.9,7.639999866,28.5009079
341,Rudrapur,"28.930637, 79.475637",28.930637,79.475637,432,24.63,11.59166718,11.5881815
342,Varanasi,"25.518048, 82.998103",25.518048,82.998103,519,30.78,3.040833235,5.747272491
343,,,,,,,3.734999895,11.35545444
344,"Bangalore
Rural","13.1935464,77.6475256",13.1935464,77.6475256,526,31.27,40.08750153,52.63727188
345,Chhatarpur,"24.782925,79.816910",24.782925,79.81691,458,26.47,19.02249908,15.23272705
346,Gwalior,"24.516005,77.769897",24.516005,77.769897,571,34.45,1.306666613,1.160909057
347,Dewas,"22.929,76.0463",22.929,76.0463,515,30.49,27.53583336,27.83272743
348,Churu,"28.3458569,75.0682504",28.3458569,75.0682504,484,28.3,5.604166508,8.738182068
349,Amravati,"20.737368, 78.140779",20.737368,78.140779,513,30.35,34.23749924,32.09272766
350,Dhamnod,"22.216325, 75.513255",22.216325,75.513255,545,32.61,1.982499957,1.804545403
351,Dhamnod,"74.977782, 23.422924",23.422924,74.977782,610,37.21,1.730000019,4.953636169
352,Bundi,"25.07255,75.598475",25.07255,75.598475,489,28.66,6.203333378,8.375454903
353,"Mahasamun
d","21.227203,82.42025",21.227203,82.42025,496,29.15,3.602499962,2.941818237
354,,,,,,,9.028333664,8.204545021
355,,,,,,,8.807499886,9.851818085
356,Zirakpur,"30.3912006,76.4995253",30.3912006,76.4995253,399,22.3,6.34250021,4.954545498
357,Pitlam,"18.265800, 77.787100",18.2658,77.7871,409,23,18.95750046,15.19181824
358,"Ahmednaga
r","19.1559589,74.4111722",19.1559589,74.4111722,429,24.42,1.571666718,1.879090905
359,Rajkot,"21.751451,70.326793",21.751451,70.326793,496,29.15,5.406666756,6.282727242
360,Washim,"20.013510, 77.139940",20.01351,77.13994,430,24.49,7.133333206,6.52454567
361,Patna,"25.5721918,85.2400643",25.5721918,85.2400643,545,32.61,18.60666656,19.7145462
362,Sikar,"28.06734,75.34098",28.06734,75.34098,635,38.98,1.646666646,1.470909119
363,,,,,,,2.353333235,3.082727194
364,Bodhan,"19.0989609,78.2133902",19.0989609,78.2133902,568,34.24,1.620833278,1.763636351
365,Meerut,"28.823169,77.648590",28.823169,77.64859,691,42.93,3.032500029,3.022727251
366,"NEAR
HULIYOORD","12.533502,77.024003",12.533502,77.024003,566,34.1,1.154166698,1.24818182
367,,,,,,,1.367499948,1.699090958
368,,,,,,,3.041666746,2.828181744
369,,,,,,,1.88166666,6.453636169
370,Sultanpur,"26.2826030, 82.4749250",26.282603,82.474925,438,25.05,11.76916695,10.69363594
371,Medak,"18.00020,78.8876",18.0002,78.8876,644,39.61,3.305000067,3.720909119
372,Duahi,"28.737468,77.477137",28.737468,77.477137,548,32.83,18.25499916,29.33545494
373,"Visakhapatn
am","17.888226,83.345101",17.888226,83.345101,632,38.76,5.710000038,8.199999809
374,Bahraich,"27.578462,81.633657",27.578462,81.633657,571,34.45,7.965833664,6.45727253
375,"Ahmednaga
r","19.244419,74.013193",19.244419,74.013193,386,21.38,3.31583333,4.00363636
376,Cuddapah,"14.624067, 78.783569",14.624067,78.783569,585,35.44,6.424166679,4.973636627
377,Ghaziabad,"28.635887, 77.444447",28.635887,77.444447,736,46.11,54.74666595,56.02636337
378,Hyderabad,"17.353843, 78.242823",17.353843,78.242823,814,51.63,2.161666632,2.592727184
379,Dausa,"26.666348, 76.319231",26.666348,76.319231,744,46.68,29.95000076,28.7881813
380,Durg,"21.214518,81.287962",21.214518,81.287962,680,42.16,12.14750004,12.53090954
381,Rayachoti,"13.7142018,78.873175",13.7142018,78.873175,724,45.27,1,1.124545455
382,Durjanpura,"22.475387,75.571802",22.475387,75.571802,644,39.61,3.048333406,3.50454545
383,Buldhana,"20.034216, 76.317990",20.034216,76.31799,625,38.27,8.608333588,4.806363583
384,Bhuteda,75.15080498. 23.60847026,75.15080498,23.60847026,701,43.64,8.608333588,25.13181686
385,Chennai,"12.9013,80.2183",12.9013,80.2183,544,32.54,21.89333344,17.45818138
386,Ranchi,"23.1806311,85.5742348",23.1806311,85.5742348,543,32.47,11.88166618,9.398181915
387,Hyderabad,"17.4622136,78.2494394",17.4622136,78.2494394,668,41.31,18.98500061,27.11999893
388,"East
Godavari","16.715212,81.82786",16.715212,81.82786,393,21.87,3.262500048,3.539999962
389,,,,,,,17.00749969,16.80000114
390,"Narmadapur
am","22.192429,78.689015",22.192429,78.689015,543,32.47,2.480833292,1.584545374
391,Elchuru,"16.107077,79.928762",16.107077,79.928762,304,15.58,4.547500134,3.75636363
392,"Bangalore
Urban","12.84615,77.671765",12.84615,77.671765,593,36.01,62.77833176,58.13181686
393,"Virudhunaga
r","9.78299,78.094492",9.78299,78.094492,494,29.01,2.63166666,2.653636456
394,"Tiruvannam
alai","12.287294, 79.069090",12.287294,79.06909,529,31.48,1.991666675,2.475454569
395,Ghaziabad,"28.704323, 77.522137",28.704323,77.522137,610,37.21,20.14750099,20.43818283
396,"Virudhunaga
r","9.385445,77.914347",9.385445,77.914347,337,17.92,5.320000172,7.132727146
397,Bhopal,"23.2245025,77.1907789",23.2245025,77.1907789,505,29.79,5.221666813,9.647273064
398,Bareilly,"28.234589, 79.523939",28.234589,79.523939,472,27.46,13.27750015,7.613636494
399,Farukhnagar,"28.455781,76.856801",28.455781,76.856801,450,25.9,8.901666641,8.770909309
400,Baran,"25.1214357,76.5731007",25.1214357,76.5731007,440,25.19,1.671666622,1.950909138
401,"Fatepur
Rampur","28.437802,77.588752",28.437802,77.588752,826,52.47,28.69750023,44.25363541
402,Bhusawal,"21.0400410,75.8293230",21.040041,75.829323,646,39.75,7.374166489,6.349999905
403,Ferozepur,"30.869500,74.773100",30.8695,74.7731,640,39.33,4.558333397,5.267272949
404,Seoni,"22.043539,79.418753",22.043539,79.418753,750,47.1,1,1.025454521
405,Azamgarh,"26.1599090, 82.8628360",26.159909,82.862836,739,46.33,7.914999962,6.497272968
406,Ashoknagar,"24.669794,77.748436",24.669794,77.748436,527,31.34,1,1
407,Hubli,"15.3186929,75.1398824",15.3186929,75.1398824,788,49.79,15.62666702,12.33090878
408,Aligarh,"28.062821,77.946047",28.062821,77.946047,539,32.19,18.6016674,26.20545387
409,Sagar,"23.301857,79.673409",23.301857,79.673409,582,35.23,1.854166627,1.666363716
410,Gadanki,"13.478827, 79.188024",13.478827,79.188024,770,48.52,6.130833149,11.38000011
411,Singrauli,"24.146502,82.491474",24.146502,82.491474,619,37.84,1.710000038,1.862727284
412,Betul,"21.9192 ,77.7388",21.9192,77.7388,489,28.66,3.857500076,10.17000008
413,Junagadh,"21.425234,70.295437",21.425234,70.295437,575,34.73,4.050833225,3.514545441
414,Palwal,"28.24923826096969,
77.29142358676597",28.24923826,77.29142359,630,38.62,28.4058342,35.56181717
415,Gajangarh,"25.824112,73.233418",25.824112,73.233418,644,39.61,7.554999828,7.373636246
416,Galia,"26.442682,91.048867",26.442682,91.048867,676,41.87,1.638333321,1.889090896
417,Adilabad,"19.026592,78.362705",19.026592,78.362705,657,40.53,2.289999962,1.988181829
418,Mandiya,"12.472697,76.760373",12.472697,76.760373,718,44.84,19.50166702,20.1072731
419,Belgaon,"15.692835, 74.503531",15.692835,74.503531,520,30.85,11.1833334,17.39090919
420,Poogal,"28.475248, 72.618840",28.475248,72.61884,629,38.55,1.459166646,1.050909042
421,Chhindwara,"22.121749,78.828202",22.121749,78.828202,507,29.93,1.363333344,1.188181758
422,,,,,,,1.435000062,2.380908966
423,Garoth,"75.651305, 24.303325",24.303325,75.651305,701,43.64,5.891666412,7.885454655
424,BALAGHAT,"21.807047,80.152498",21.807047,80.152498,635,38.98,4.309166431,5.682727337
425,"Navi
Mumbai","18.951875,73.018836",18.951875,73.018836,606,36.93,21.99499893,63.29454422
426,Amravati,"20.621760, 77.862567",20.62176,77.862567,629,38.55,17.83500099,14.30818176
427,Malda,"25.195886604496657,
88.18264181261955",25.1958866,88.18264181,595,36.15,6.105833054,6.418181896
428,"Sawai
Madhopur","26.378622, 76.546867",26.378622,76.546867,605,36.86,1.012500048,1
429,Ajmer,"26.551347,74.780202",26.551347,74.780202,614,37.49,12.02250004,9.684545517
430,Ambala,"30.403876,76.736573",30.403876,76.736573,712,44.42,19.52833366,13.56272697
431,Aurangabad,"19.893828, 74.784524",19.893828,74.784524,659,40.67,14.94833374,14.47909069
432,Gurugram,"28.3336041, 77.0673886",28.3336041,77.0673886,548,32.83,36.54249954,27.43000031
433,Giridih,"24.030088,85.948654",24.030088,85.948654,678,42.01,2.13499999,2.044545412
434,Barabanki,"26.6131760, 81.3957130",26.613176,81.395713,634,38.9,2.022500038,2.736363649
435,Karnal,"29.582281,76.978398",29.582281,76.978398,632,38.76,14.69000053,13.16636372
436,Nuh,"27.765879, 76.993905",27.765879,76.993905,476,27.74,11.54500008,16.18091011
437,Pithampur,"22.644110, 75.568497",22.64411,75.568497,575,34.73,6.258333206,6.426363468
438,Hyderabad,"17.263039, 78.400211",17.263039,78.400211,626,38.34,31.43833351,27.06999969
439,New Delhi,"28.625378,77.312168",28.625378,77.312168,565,34.03,71.71666718,70.11454773
440,Baxirhat,"26.30493889,89.61888889",26.30493889,89.61888889,624,38.2,2.344166756,2.028181791
441,"Narmadapur
am","22.125288,78.025027",22.125288,78.025027,651,40.11,2.05250001,1.682727337
442,Nashik,"19.708905,73.614819",19.708905,73.614819,587,35.58,5.113333225,5.413636208
443,LUDHIANA,"30.845116,76.142999",30.845116,76.142999,662,40.88,8.638333321,9.054545403
444,Dharwad,"15.460555,74.967151",15.460555,74.967151,451,25.97,5.363333225,6.048181534
445,"Hanumagar
h","29.134011, 75.058531",29.134011,75.058531,699,43.5,1.57249999,1.860909104
446,Nagaur,"27.2521763, 73.6454253",27.2521763,73.6454253,694,43.14,2.732500076,4.911818027
447,Udaipur,"24.766166,73.523999",24.766166,73.523999,613,37.42,3.486666679,3.404545546
448,Bhopal,"23.394807, 77.399706",23.394807,77.399706,611,37.28,3.728333235,3.023636341
449,Pithapuram,"17.139122,82.271843",17.139122,82.271843,749,47.03,2.57249999,3.951818228
450,"Ahmednaga
r","19.790328, 74.068809",19.790328,74.068809,743,46.61,43.44166565,29.00272751
451,Nagpur,"21.137001,78.89666",21.137001,78.89666,531,31.63,4.605000019,4.03363657
452,Gopalpur,"25.166454, 82.479512",25.166454,82.479512,808,51.2,5.471666813,4.946363449
453,Goragaon,"25.973169, 78.835375",25.973169,78.835375,719,44.91,2.548333406,1.668181777
454,Srikakulam,"18.619937, 84.041020",18.619937,84.04102,695,43.22,1.090000033,1
455,Gorsar,"21.31811111,69.90972222",21.31811111,69.90972222,693,43.07,7.840833187,6.984545231
456,"Vishakapatn
am","17.71386,83.212194",17.71386,83.212194,693,43.07,15.27000046,17.12454605
457,,,,,,,1.3125,1.785454512
458,"Gowraran
village","17.268021,80.679776",17.268021,80.679776,645,39.68,1.634166718,1.587272763
459,Alipurduar,"26.476623,89.756542",26.476623,89.756542,631,38.69,3.533333302,2.178181887
460,MAGADI,"13.022707,77.153308",13.022707,77.153308,559,33.6,1.207499981,1.461818218
461,Khordha,"20.203404,85.668312",20.203404,85.668312,617,37.7,5.545000076,7.916363716
462,Nalgonda,"17.485724,78.8217",17.485724,78.8217,594,36.08,10.6833334,11.53909111
463,Chitradurga,"14.053778,76.560573",14.053778,76.560573,651,40.11,8.96333313,7.769090652
464,Gulalpurva,"27.8271,81.5265",27.8271,81.5265,725,45.34,1.57249999,1.856363654
465,"Siddharthan
agar","27.443827,82.924607",27.443827,82.924607,663,40.95,1.953333378,1.890909076
466,Tonk,"25.992770,75.938450",25.99277,75.93845,628,38.48,4.239999771,3.74363637
467,"Gummadida
la","29.910500,76.507130",29.9105,76.50713,671,41.52,3.212500095,3.364545345
468,Guna,"24.620413,77.26147",24.620413,77.26147,544,32.54,3.709166765,3.301818132
469,Bangalore,"13.4293608,77.5124912",13.4293608,77.5124912,675,41.8,2.221666574,2.022727251
470,Ganjam,"19.638154,85.140017",19.638154,85.140017,584,35.37,5.153333187,3.329999924
471,Firozabad,"26.996524,78.777334",26.996524,78.777334,731,45.76,11.3633337,10.45727253
472,Rewa,"24.742577,82.109536",24.742577,82.109536,562,33.82,1,1
473,Aurangabad,"19.931252, 74.950029",19.931252,74.950029,719,44.91,26.46750069,25.32363701
474,Lucknow,"26.137818, 82.802275",26.137818,82.802275,649,39.96,1.370000005,1.558181763
475,Wardha,"20.852147,78.873033",20.852147,78.873033,693,43.07,5.450833321,4.179999828
476,Halaharvi,"15.819781,77.454008",15.819781,77.454008,616,37.63,2.095000029,2.072727203
477,Sultanpur,"26.5125810, 81.7669160",26.512581,81.766916,629,38.55,18.73750114,30.92272758
478,Halligudi,"15.390900, 75.855100",15.3909,75.8551,654,40.32,7.726666451,7.5
479,Halol,"22.489873, 73.465586",22.489873,73.465586,759,47.74,10.90833282,10.67272758
480,Jakhedi,"25.6337,79.6940",25.6337,79.694,733,45.9,2.901666641,2.957272768
481,Allahabad,"25.3788756,82.1567207",25.3788756,82.1567207,662,40.88,5.421666622,6.800000191
482,Damoh,"23.849222,79.609670",23.849222,79.60967,713,44.49,1.479166627,1.423636317
483,Araria,"26.152636,87.445216",26.152636,87.445216,699,43.5,3.738333225,4.679999828
484,Nagaur,"27.2553568,73.8398793",27.2553568,73.8398793,631,38.69,1,1
485,Hadagali,"14.806217,75.975065",14.806217,75.975065,673,41.66,1.38166666,1.168181777
486,Prayagraj,"25.1154169,81.7543869",25.1154169,81.7543869,731,45.76,3.486666679,3.303636312
487,Hoshiarpur,"32.061586,75.614373",32.061586,75.614373,675,41.8,3.785000086,4.182727337
488,Raisen,"23.018177,78.121077",23.018177,78.121077,673,41.66,10.87666702,9.081818581
489,Gulbarga,"17.021227,76.6828832",17.021227,76.6828832,695,43.22,1,1
490,"Jaipur -
Keonjhar","21.14661,86.1173884",21.14661,86.1173884,731,45.76,1.798333287,2.909090996
491,Barmer,"25.5646786,71.4078461",25.5646786,71.4078461,667,41.24,2.089999914,2.656363487
492,Hativale,"16.611829, 73.545512",16.611829,73.545512,710,44.28,3.785000086,1.784545422
493,Hatnoor,"20.1931490,75.1328630",20.193149,75.132863,701,43.64,3.895833254,2.433636427
494,Sagar,"24.123109,79.55156",24.123109,79.55156,678,42.01,1.024166703,1.088181853
495,Belagavi,"16.1433,74.51696",16.1433,74.51696,631,38.69,4.616666794,5.369999886
496,Jaunpur,"25.675856, 82.724787",25.675856,82.724787,543,32.47,9.199999809,10.83272743
497,Davanagere,"14.375564,76.106875",14.375564,76.106875,753,47.31,23.75500107,18.18545532
498,Rajgarh,"23.987980,76.801104",23.98798,76.801104,691,42.93,1.276666641,1.125454545
499,Hejamadi,"13.1075003,74.7844545763",13.1075003,74.78445458,671,41.52,4.395833492,3.618181705
500,"Hemagudda
Village","15.431844,76.405685",15.431844,76.405685,669,41.38,1.50999999,1.108181834
501,Gurugram,"28.212915, 77.124201",28.212915,77.124201,872,55.72,30.12750053,29.93909073
502,Bikaner,"29.101064,73.853890",29.101064,73.85389,682,42.3,1.44749999,1.276363611
503,Nagpur,"21.092948,78.9764186",21.092948,78.9764186,713,44.49,17.29000092,13.72363663
504,Jaipur,"26.8509,75.9247",26.8509,75.9247,678,42.01,9.732500076,15.2318182
505,"Hirapur
Village","20.104946, 79.830014",20.104946,79.830014,623,38.13,1.050833344,1.294545412
506,Belagavi,"15.76311,74.64785",15.76311,74.64785,592,35.94,4.197500229,3.771818161
507,Hirehalli,"14.524962,76.6644745",14.524962,76.6644745,645,39.68,4.998333454,3.645454645
508,"Hiremannap
ur","15.7729777,76.2985608",15.7729777,76.2985608,533,31.77,1,1
509,Koppal,"15.323649,76.303646",15.323649,76.303646,748,46.96,11.09416676,9.739090919
510,Khutar,"28.264748, 80.250888",28.264748,80.250888,647,39.82,1.68416667,1.332727313
511,"Ahmadnaga
r","19.514777,74.2013655",19.514777,74.2013655,585,35.44,6.947500229,7.904545307
512,Dhareshwar,"14.3594475,74.4184843",14.3594475,74.4184843,660,40.74,4.249166489,3.797272682
513,"Bangalore
Rural","13.059436,77.770734",13.059436,77.770734,620,37.92,16.09083366,21.12999916
514,Bengaluru,"12.858667,77.655833",12.858667,77.655833,730,45.69,42.33916473,39.70545578
515,Khadki,"22.6479969,73.5197764",22.6479969,73.5197764,565,34.03,3.502500057,3.152727127
516,Galiya Danti,"23.3639618,73.5152351",23.3639618,73.5152351,572,34.52,5.114166737,4.435454369
517,Gajan,"23.5051103,73.3033763",23.5051103,73.3033763,532,31.7,3.519999981,3.163636446
518,"Gaman
Bariya na","23.0127692,73.6180402",23.0127692,73.6180402,631,38.69,3.11500001,2.962727308
519,,,,,,,5.649166584,5.704545498
520,Deoli,"20.5512,78.301089",20.5512,78.301089,601,36.57,1,1
521,Ichgaon,"17.592193,75.591492",17.592193,75.591492,598,36.36,11.03999996,12.38636398
522,Unchehra,"24.349306,80.778889",24.349306,80.778889,493,28.94,1.979166627,1.957272768
523,Indore,"22.822692,75.938208",22.822692,75.938208,699,43.5,12.69999981,14.82909107
524,Dewas,"22.959586,76.084165",22.959586,76.084165,700,43.57,9.944999695,10.51090908
525,New Delhi,"28.543853,77.115435",28.543853,77.115435,519,30.78,46.79583359,42.32545471
526,Nizamabad,"18.538284,78.239718",18.538284,78.239718,578,34.95,7.053333282,7.24454546
527,Delhi,"28.632236,77.344611",28.632236,77.344611,771,48.59,61.90999985,62.30999756
528,Bundi,"25.743931, 76.168992",25.743931,76.168992,638,39.19,3.319999933,2.450000048
