Index,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),2023,2024
1222,Meerut,"29.095601,77.710995",29.095601,77.710995,376,20.67,12.81500053,16.16636276
1223,Churu,"27.785854, 74.747014",27.785854,74.747014,377,20.74,4.671666622,6.493636608
1224,"Purba
Medinipur","22.335479,87.869477",22.335479,87.869477,585,35.44,4.560833454,4.732727051
1225,Dhule,"21.050768,74.784939",21.050768,74.784939,432,24.63,6.308333397,4.670000076
1226,Chhapra,"25.924418,84.967832",25.924418,84.967832,470,27.31,3.267499924,3.190909147
1227,Sehore,"23.360541,77.218446",23.360541,77.218446,364,19.82,8.489999771,6.952727318
1228,Sidhi,"24.3958,81.8024",24.3958,81.8024,485,28.37,3.829166651,3.279999971
1229,Tonk,"26.1098541,75.7435763",26.1098541,75.7435763,338,17.99,3.086666584,3.171818256
1230,Indore,"22.6118196,75.7764414",22.6118196,75.7764414,341,18.2,14.06166649,17.23545456
1231,Allahabad,"25.5897643,81.8407997",25.5897643,81.8407997,378,20.81,3.542500019,4.429090977
1232,Dhanbad,"23.548958,85.756721",23.548958,85.756721,430,24.49,2.089166641,2.604545593
1233,Jamnagar,"22.5501006,70.3491712",22.5501006,70.3491712,342,18.27,9.967499733,8.999091148
1234,"Navi
Mumbai","19.029739, 73.089815",19.029739,73.089815,419,23.71,17.76333237,23.78181839
1235,Palwal,"28.00548,77.332377",28.00548,77.332377,503,29.65,4.780833244,6.155454636
1236,"Kanchipura
m","12.982155,79.968944",12.982155,79.968944,269,13.11,14.81833363,13.44090939
1237,Jajpur,"20.678864,86.165581",20.678864,86.165581,393,21.87,1.601666689,1.381818175
1238,Jalgaon,"20.862,74.971",20.862,74.971,394,21.94,6.15749979,10.14909077
1239,Baripada,"22.0753298,86.6433381",22.0753298,86.6433381,511,30.21,6.16833353,6.295454502
1240,Chalsa,"26.87330556,88.91472222",26.87330556,88.91472222,516,30.57,1.55250001,1.153636336
1241,Nellore,"13.744936,79.990993",13.744936,79.990993,307,15.8,4.721666813,3.080909014
1242,,,,,,,1.728333354,1.954545498
1243,Kasol,"32.006100, 77.277700",32.0061,77.2777,497,29.22,1,1.24636364
1244,Kutch,"23.233738,70.689457",23.233738,70.689457,288,14.45,9.316666603,8.874545097
1245,Tiruvallur,"13.136678,80.181624",13.136678,80.181624,434,24.77,22.69166756,23.12000084
1246,"Dakshina
Kannada","13.013341,74.792875",13.013341,74.792875,373,20.46,7,5.279090881
1247,"Uttar
Dinajpur","25.933558,87.843381",25.933558,87.843381,422,23.92,2.520833254,2.119999886
1248,Dhar,"22.160372,74.774565",22.160372,74.774565,341,18.2,1,1
1249,Taddanpally,"17.695444, 78.095667",17.695444,78.095667,500,29.43,19.00666618,12.57909107
1250,Etawah,"26.8479,79.3174",26.8479,79.3174,385,21.31,18.66833305,17.00636292
1251,Takoli (Mandi),"31.8108638888889,
77.1840555555556",31.81086389,77.18405556,506,29.86,1.542500019,1.620000005
1252,Talapady,"12.7590772,74.8743029",12.7590772,74.8743029,439,25.12,2.842499971,3.014545441
1253,Sagar,"23.751029,78.756334",23.751029,78.756334,575,34.73,1.740833282,1.909999967
